분류번호,사무명,사무개요,신청유형,단순/복합,수수료,수수료내역,보관기간,등록일자,적용일자,폐지일자,소관부처,담당부서
1520000-0517,어장정화·정비업 변경등록,어장정화．정비업 등록한 자가 등록 내용을 변경하여 신고하고자 하는 경우,등록,단순민원,수수료 없음,수수료 없음,없음,2013.04.03,2013.04.04,,해양수산부,양식산업과
1520000-0516,내항여객운송사업계획변경인가,"내항여객운송사업계획중 선박의 증선, 대체 및 감선, 기항지의 변경, 선박의 운항횟수나 운항시각의 변경, 선박의 휴항과 같이 중요한 사업계획을 변경하려는 내항여객운송사업자는 지방해양항만청장의 인가를 받아야 하는 민원사무입니다.",인가,단순민원,수수료 없음,수수료 없음,5년,2013.04.04,2013.04.05,,해양수산부,연안해운과
1520000-0515,측량기준점표지의 이전신청,측량기준점표지의 이전을 신청하려는 자가 국토지리정보원이나 국립해양조사원에 신청하는 민원사무입니다,기타,단순민원,수수료 없음,수수료 없음,5년,2015.10.15,2015.04.03,,국토교통부,공간정보제도과
1520000-0514,수로조사성과 심사신청,수로조사를 실시한 자가 수로조사성과심사를 국립해양조사원장에게 신청하는 민원사무입니다,검사,단순민원,수수료 없음,수수료 없음,5년,2014.06.09,2014.06.10,,해양수산부,해양영토과
1520000-0512,권리·의무승계신고,어촌어항법 규정에 의한 승인·허가로 인하여 발생한 권리·의무의 승계를 하고자 하는 경우 그 사유가발생한 날부터 60일 이내에 신고하는 민원입니다.,신고,단순민원,수수료 없음,수수료 없음,5년,2015.10.19,2015.10.31,,해양수산부,어촌어항과
1520000-0511,어항시설 사용·점용기간 연장허가,어항시설의 사용·점용허가를 받은 자가 사용·점용기간을 연장하고자 할 때 신청하는 민원입니다.,허가,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,어촌어항과
1520000-0510,어항시설 사용· 점용신고,"광역시 또는 시, 군, 구의 조례로 정하는 기간과 범위내에서 어항시설을 사용하거나 점용하고자 하는 경우 어항관리청에 신고하는 민원입니다.",신고,단순민원,사례별 수수료,,없음,2013.04.03,2013.04.04,,해양수산부,어촌어항과
1520000-0509,어항시설 사용·점용허가(변경),어항시설을 사용하거나 점용하고자 하거나 변경하고 하는 자가 어항관리청의 허가를 받기 위해 신청하는 원입니다.,허가,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,어촌어항과
1520000-0508,무상사용·수익신고,비지정권자가 시행한 어항개발사업으로 조성 또는 설치된 토지 및 시설을 무상으로 사용하거나 수익하고자 할 경우 신고하는 민원입니다,신고,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,어촌어항과
1520000-0507,어항개발사업시행 허가,비지정권자가 어항개발사업을 시행하고자 하는 때 어항개발사업계획을 수립하여 지정권자로부터 시행허가를 받기 위해 신청하는 민원사무입니다,허가,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,어촌어항과
1520000-0506,어촌종합개발시설 폐지승인,어촌종합개발사업 시행자가 어촌종합개발시설을 폐지할 사유가 있을 경우 폐지승인을 신청하는 민원사무입니다.,승인,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,어촌어항과
1520000-0505,어촌종합개발(어항개발) 준공전사용허가,어촌종합개발사업 및 어항개발 사업시행자가 준공확인필증을 교부받기 전에 어촌·어항공사로조성 또는 설치된 토지 및 시설을 사용하고자 하는 경우에 허가를 받기 위해 신청하는 민원입니다.,허가,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,어촌어항과
1520000-0504,어촌종합개발(어항개발)사업 준공전 사용신고,어촌종합개발사업 및 어항개발사업 시행자가 준공확인필증을 교부받기 전에 그 사업으로 조성 또는 설치된 토지 및 시설을 이용하고자 하는 경우 신고한는 민원,신고,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,어촌어항과
1520000-0503,어촌종합개발(어항개발)사업 준공보고,어촌종합개발 및 어항개발사업 시행자가 공사를 완료한 때에는 지체없이 준공보고서를 제출하고 준공확인을 받는 민원입니다.,보고,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,어촌어항과
1520000-0502,수산물·수산특산물·수산전통식품 품질인증서 재교부,인증서를 잃어버리거나 훼손시 재교부하는 민원사무 입니다.,교부,단순민원,수수료 없음,수수료 없음,없음,2013.04.03,2013.04.04,,해양수산부,품질관리과
1520000-0499,일부 시험의 외부의뢰 등 승인,일부 시험의 외부의뢰 등 승인을 신청하기 위한 민원사무입니다.,승인,단순민원,수수료 없음,수수료 없음,없음,2013.04.04,2013.04.05,,해양수산부,해사산업기술과
1520000-0496,외항여객운송사업 운임·요금 (변경)신고,해상여객운송사업의 면허를 받은 자(외항여객운송사업자)는 국토해양부령이 정하는 바에 의하여 운임과 료금을 정하여 국토해양부장관에게 미리 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,없음,2013.04.03,2013.04.04,,해양수산부,해운정책과
1520000-0495,황다랭이 수입확인신청,농림수산식품부장관의 확인을 필요로 하는 황다랭이를 수입 하고자 하는 자가 원산지증명서를 첨부하여 관할 국립수산물품질검사원 지원장의 확인을 받고자 신청하는 민원입니다.,확인,단순민원,수수료 없음,수수료 없음,3년,2013.04.03,2013.04.04,,해양수산부,원양산업과
1520000-0493,대서양 참다랑어 통계증명,대서양다랑어보존위원회(ICCAT)의 권고에 따라 대서양수역에서 어획된 참다랑어를 수출입하기 위한 어획증명서 발급,증명,단순민원,수수료 없음,수수료 없음,3년,2013.05.01,2013.05.02,,해양수산부,원양산업과
1520000-0492,눈다랑어 통계증명,인도양다랑어위원회 권고에 따라 눈다랑어를 수출입하기위한 증명서 발급,증명,단순민원,수수료 없음,수수료 없음,없음,2013.04.03,2013.04.04,,해양수산부,원양산업과
1520000-0491,남방참다랑어 통계증명,남방참다랑어보존위원회의 권고에 따라 남방참다랑어를 수출입하기 위한 증명서 발급,증명,단순민원,수수료 없음,수수료 없음,3년,2013.05.01,2013.05.02,,해양수산부,원양산업과
1520000-0490,선박 및 선박용 물건의 형식승인시험기관 지정(시험품목 추가지정 등),"선박 및 선박용 물건의 형식승인 시험기관으로 최초로 지정 (시험품목 추가지정 시험내용 변경, 지정받은 사항 변경)을 받고자 신청하는 민원사무입니다.",지정,단순민원,수수료 없음,수수료 없음,없음,2013.04.04,2013.04.05,,해양수산부,해사산업기술과
1520000-0489,swordfish통계증명,대서양참치보존위원회의 권고에 따라 황새치를 수출입하기 위한 증명서 발급,증명,단순민원,수수료 없음,수수료 없음,3년,2013.04.03,2013.04.04,,해양수산부,원양산업과
1520000-0488,원양어획물 반입신고,원양어업허가를 받은 어선이 어획한 어획물을 국내에 반입할 경우 반입항 관할 국립수산물품질검사원 해당지원에 어획물반입신고를 하여 확인을 받아야 하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.03,2013.04.04,,해양수산부,원양산업과
1520000-0487,국제선박보안증서(임시국제선박보안증서) 재발급,선박을 국제항해에 취항시키고자 하는 외항선사가 국제선박보안증서 또는 임시국제선박보안증서를 재발급받기 위해 지방해양항만청장에게 신청하는 민원입니다,교부,단순민원,수수료 없음,수수료 없음,없음,2016.02.15,2016.02.16,,해양수산부,해사안전관리과
1520000-0486,"(최초,갱신,중간,임시선박)보안심사","국제항해선박 및 항만시설의 보안에 관한 법률에 의거, 국제항해에 취항하고자 하는 선박이 지방해양항만청장에게 선박보안심사를 신청하고자 하는 하는 민원사무입니다.",검사,단순민원,요율별 수수료,"요율별수수료(50,520원 ~ 84,200원)",3년,2016.02.15,2016.02.16,,해양수산부,해사안전관리과
1520000-0485,선박보안계획서 승인(변경승인),국제항해선박 및 항만시설의 보안에 관한 법률 제10조제3항 및 같은 법 시행규칙 제9조제1항에 의거 총괄보안책임자가 선박보안계획서를 작성하거나 변경하는 경우 지방해양항만청장의 승인을 얻기 위해 신청하는 민원사무입니다.,승인,단순민원,사례별 수수료,"67,360원, 변경승인은 승인 수수료의 2분의 1",5년,2016.02.15,2016.02.16,,해양수산부,해사안전관리과
1520000-0484,선박이력기록부 교부(재교부),국제항해에 종사하는 선박에 대해 외항선사가 선박이력기록부를 교부(재교부)받기 위해 지방해양항만청장에게 신청하는 민원사무입니다.,교부,단순민원,수수료 없음,수수료 없음,없음,2016.02.15,2016.02.16,,해양수산부,해사안전관리과
1520000-0483,선박보안심사 재심사,국제항해선박 및 항만시설의 보안에 관한 법률 제21조제1항 및 같은 법 시행규칙 제25조제1항에 따라 보안심사에 불복이 있는 자가 심사결과를 통지받은 날부터 30일이내에 그 사유를 기재하여 지방해양항만청장에게 재심사를 요청하는 민원사무입니다,검사,단순민원,요율별 수수료,"요율별수수료(톤수계수 및 선박종류에 따라 결정, 50,520원~ 84,200원)",3년,2016.02.15,2016.02.16,,해양수산부,해사안전관리과
1520000-0482,보안심사대행기관 지정,보안심사대행기관으로 지정받고자 하는 자가 국토해양부장관이 정하는 지정기관 기준에 적합한 시설 등을 갖추고 기관지정을 신청하는 민원사무입니다.,지정,단순민원,수수료 없음,수수료 없음,없음,2016.02.15,2016.02.16,,해양수산부,해사안전관리과
1520000-0481,보안교육기관 지정,선박및 항만보안관련 보안교육기관으로 지정받고자 하는 자가 국토해양부장관이 정하는 보안교육기관 지정기준에 적합한 시설 등을 갖추고 보안교육기관 지정을 신청하는 민원사무입니다.,지정,단순민원,수수료 없음,수수료 없음,없음,2016.02.15,2016.02.16,,해양수산부,해사안전관리과
1520000-0480,선원취업규칙(변경)신고,"선원과 선주간에 임금, 고용관계 등 근로계약을 체결하거나 체결된 사항이 변경된 경우 신고하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,없음,2013.04.04,2013.04.05,,해양수산부,선원정책과
1520000-0479,선박 입출항허가,"전시, 사변 또는 이에 준하는 국가비상사태하나 국가안전보장상 필요한 경우 국토해양부장관이 따로 정한 선박은 입출항 허가를 받아야 하는 민원사무입니다.",허가,단순민원,수수료 없음,수수료 없음,없음,2013.04.04,2013.04.05,,해양수산부,항만운영과
1520000-0478,항계내 선박수리신고,"총톤수 20톤이상 선박의 기관실, 연료탱크 등 위험구역 밖에서 불꽃, 발열을 수반하는 용접 등의 방법으로 수리하고자 하는 경우 신고하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,없음,2013.04.04,2013.04.05,,해양수산부,항만운영과
1520000-0477,선박관리업 계약변경 신고,선박관리업체가 선사와 선박 또는 선원관리에 대한 업무를 위수탁하는 계약을 신규 체결하거나 변경시 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,없음,2013.04.04,2013.04.05,,해양수산부,선원정책과
1520000-0476,선원승선 변경공인,선박에 승선하는 선원이 교체 등으로 변경되는 경우 선주 또는 선장이 그 변경사항을 인증받는 민원사무입니다.,인증,단순민원,단일 수수료,"1,000원",없음,2013.04.04,2013.04.05,,해양수산부,선원정책과
1520000-0474,왕돌초 주변해역 2중이상 자망 사용신고,왕돌초 주변해역에서 2중 이상 자망의 사용을 하고자 하는 자는 경북도(근해자망) 또는 경북도 관내 시.군.구(연안자망)에 신고하여야 함,신고,단순민원,조례별 수수료,조례로 결정,5년,2013.04.03,2013.04.04,,해양수산부,어업정책과
1520000-0473,2중이상 자망 사용승인,2중 이상 자망을 사용하고자 하는 자는 농림수산식품부장관(근해자망) 또는 해역관할 시.도(연안자망)의 승인을 받아야 함,승인,단순민원,조례별 수수료,부령 또는 조례에 의함,5년,2013.04.03,2013.04.04,,해양수산부,어업정책과
1520000-0472,등록 외 사업구역의 일시적인 운송신고,"내항화물운송사업자가 일시적으로 국내항과 외국항사이 또는 외국항과 외국항사이에 화물을 운송하고자 하거나, 외항부정기화물운송사업자가 일시적으로 국내항사이에 화물을 운송하고자 하는 경우에미리 신고함으로써 그 등록에 갈음할 수 있는 민원사무입니다",신고,단순민원,수수료 없음,수수료 없음,1년,2013.04.04,2013.04.05,,해양수산부,연안해운과
1520000-0471,수산질병관리원 휴업·폐업 신고,"수산질병관리원개설 휴,폐업신고시 수리 ※ 이 민원의 휴업·폐업신고서는 부가가치세법 시행령 제10조제1항에 의거 세무서에 제출하는 휴업·폐업신고서와 함께 세무서에 제출할 수 있습니다",신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.03,2013.04.04,,해양수산부,어촌양식정책과
1520000-0470,수산질병관리사면허증(재교부·재부여)신청,"수산질병관리사면허증 재교부,재부여",교부,단순민원,단일 수수료,"2,000dnjs",3년,2013.04.03,2013.04.04,,해양수산부,어촌양식정책과
1520000-0469,수산질병관리원개설신고사항 변경 신고,수산질병관리원신고사항 변경 신고시 변경,신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.03,2013.04.04,,해양수산부,어촌양식정책과
1520000-0468,수산질병관리원 개설신고,수산질병관리원개설 신고시 필증교부,신고,단순민원,단일 수수료,수수료,3년,2013.04.03,2013.04.04,,해양수산부,어촌양식정책과
1520000-0467,낚시어선업 폐업신고,낚시어선업을 폐업하려는 자는 낚시어선업폐업신고서에 낚시어선업신고필증을 첨부하여 시.군.구청장에게 신고 ※ 이 민원의 휴업·폐업신고서는 부가가치세법 시행령 제10조제1항에 의거 세무서에 제출하는 휴업·폐업신고서와 함께 세무서에 제출할 수 있습니다,신고,단순민원,수수료 없음,수수료 없음,1년,2013.04.03,2013.04.04,,해양수산부,자원관리과
1520000-0466,위해요소 중점관리기준 이행시설 등록,위해요소중점관리기준에 적합한 생산.가공시설을 등록하고자 할 때 신청하는 민원사무입니다,등록,단순민원,수수료 없음,수수료 없음.,5년,2013.04.03,2013.04.04,,해양수산부,검역검사과
1520000-0463,어업면허증(허가증·신고필증) 재교부,어업면허증·허가증·신고필증이 헐아 못쓰게 되어 재교부를 위한 민원사무입니다.,교부,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,어업정책과
1520000-0462,어업시설제거등 조치신청,재해로 인하여 시설 본래의 목적으로 사용할 수 없을때 시설의 제거등 필요한 조치의 명령을 신청할 수 있는 민원사무입니다,기타,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,양식산업과
1520000-0461,내수면어업 면허기간 연장허가,내수면어업면허를 연장하기 위한 민원사무입니다.,허가,단순민원,조례별 수수료,조례로 결정,5년,2013.04.03,2013.04.04,,해양수산부,양식산업과
1520000-0460,내수면 유해어법 사용허가,수산동식물을 유해어법으로 포획 ·채취하고자 할 경우 신청하는 민원사무입니다.,허가,단순민원,조례별 수수료,조례로 결정,5년,2013.04.03,2013.04.04,,해양수산부,양식산업과
1520000-0459,유어장(변경)지정,유어장(체험학습 또는 낚시등 관광용어장)의 지정을 위한 신청,지정,단순민원,수수료 없음,없음,5년,2013.04.03,2013.04.04,,해양수산부,자원관리과
1520000-0458,이식용수산물 검역증명서 재교부,검역증명서를 발급 받은자가 증명서를 분실하였을 경우 재발급 받고자 하는 민원사무입니다,교부,단순민원,수수료 없음,없음,5년,2013.04.03,2013.04.04,,해양수산부,검역검사과
1520000-0457,관리선 사용지정(어선사용승인) 사항변경신청,관리선지정 및 사용승인을 얻은 사항 변경시 신청하는 민원사무입니다,지정,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,어촌양식정책과
1520000-0456,어업면허증·관리선사용지정(어선사용승인)증 재교부,"어업면허증, 관리선지정서를 분실·훼손시 재교부하기 위한 민원사무입니다.",지정,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,어촌양식정책과
1520000-0455,항로표지위탁관리업 개시(휴지·재개·폐지) 신고,"위탁관리업 등록을 한 자가 그 영업을 개시·휴지, 폐지하고자 하는 때에는 미리 지방해양항만청에 그 사실을 신고하는 민원사무입니다. ※ 이 민원의 휴지.폐지신고서는 부가가치세법시행령 제10조제1항에 의해 세무서에 제출하는 휴업.폐업신고서와 함께 세무서에 제출할 수 있습니다.",신고,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0454,항로표지 위탁관리업 법인합병신고,항로표지 위탁관리업자가 법인의 합병이 있는 때에는 합병후 존속하는 법인이나 합병에 의하여 설립되는 법인이 권리.의무를 승계한 날부터 30일 이내에 지방해양항만청에 신고하여야 하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0453,항로표지위탁관리업 양수신고,항로표지 위탁관리업자가 그 영업을 양도하는 때에는 그 양수인이 권리.·의무를 승계한 날부터 30일 이내에 지방해양항만청에 신고하여야 하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0452,항로표지위탁관리업 상속인 사업승계 신고,항로표지 위탁관리업자가 사망한때 그 상속인이 권리·의무를 승계하기 위해 권리.·의무를 승계한 자가 승계한 날부터 30일 이내에 지방해양항만청에 신고하여야 하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0451,항로표지 위탁관리업 등록증 재발급,"항로표지위탁관리업 등록을 한 자가 등록증을 분실한 경우에는 분실경위서를, 훼손된 경우에는 훼손된 등록증을 첨부하여 재 교부 받고자 신청하는 민원사무입니다.",교부,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0450,항로표지위탁관리업 등록사항 변경,항로표지위탁관리업 등록을 한자가 등록사항을 변경하고자 하는 경우에 변경등록을 신청하여야 하는 민원사무입니다.,등록,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0449,항로표지위탁관리업 등록,"항로표지위탁관리업을 영위하고자 하는 자가 관리자의 자격, 인원, 시설, 자본금 등 등록기준을 갖추고 지방해양항만청에 등록을 신청하는 민원사무입니다.",등록,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0448,"공유수면원상회복 의무면제(점용, 사용)",대통령령으로 정하는 무너진 곳 또는 개인의 소유권이 인정되는 간석지의 토지로 조성하는 행위를 하기 위하여 점용·사용 허가를 받은 사람이 원상회복의무를 면제 받고자 하는 경우에 공유수면원상회복의무면제신청서에 관련 서류를 첨부하여 신청하는 민원사무입니다.,기타,단순민원,수수료 없음,수수료 없음,5년,2013.04.04,2013.04.05,,해양수산부,연안계획과
1520000-0445,품질인증기관 지정신청(수산물품질관리법 소관분야),품질인증기관으로 지정을 받고자 하는 자가 품질인증에 필요한 시설과 인력을 갖추어 농림수산식품부장관에게 신청하기 위해 신청하는 민원사무입니다.,지정,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,품질관리과
1520000-0443,어장정화·정비업 등록,어장정화·정비업을 하고자 하는 자가 신청하는 민원사무입니다. 선박과 기술인력 등을 해양수산부령이 정하는 바에 따라 시·도지사에게 등록하는 민원사무입니다.,등록,단순민원,수수료 없음,수수료 없음,10년,2013.04.03,2013.04.04,,해양수산부,양식산업과
1520000-0442,"선박재검사(재검정, 재확인)",국토해양부장관 또는 국토해양부장관의 업무를 대행하는 기관의 검사·확인 또는 검정을 받은 자가 위 검사등에 대한 불복이 있는 때에는 검사등의 결과에 관한 통지를 받은 날부터 60일이내에 그 사유를 갖추어 재검사·재확인 또는 재검정을 신청하는 민원사무입니다.,검사,단순민원,수수료 없음,수수료 없음,10년,2013.04.04,2013.04.05,,해양수산부,해사산업기술과
1520000-0441,재화중량톤수 증서교부,재화중량톤수증서를 교부받고자 하는 경우에 신청하는 민원사무입니다.,교부,단순민원,수수료 없음,수수료 없음,5년,2013.04.04,2013.04.05,,해양수산부,해사안전정책과
1520000-0440,항만공사 준공전사용신고,비관리청이 준공확인필증을 교부받기전에 항만공사로 조성 또는 설치되는 비귀속 토지나 시설을 사용하고자 하는 경우 관리청에 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,5년,2013.04.04,2013.04.05,,해양수산부,항만투자협력과
1520000-0439,항만시설관리권 등록부 열람,등록부의 등본 또는 초본의 교부나 열람을 청구하고자 하는 자가 국토해양부령이 정하는 바에 따라 신청하는 민원사무입니다.,확인,단순민원,사례별 수수료,"방문 열람시 50원, 전자민원(인터넷) 열람시 무료",5년,2013.04.04,2013.04.05,,해양수산부,항만정책과
1520000-0433,컨테이너 정기(계속)점검방법승인,안전승인판이 부착된 컨테이너의소유자가 국토해양부장관이 정하여 고시하는 컨테이너보수점검기준에 따라 당해 컨테이너를 자체점검하여 승인을 신청하는 민원사무입니다.,승인,단순민원,수수료 없음,없음,5년,2013.04.04,2013.04.05,,해양수산부,해사산업기술과
1520000-0432,항로표지 장비·용품검사 대행기관지정(재지정),항로표지장비용품 검사대행기관으로 지정받고자 하는 자 또는 지정받은 자가 지정기간 만료일 60일 전까지 재 지정을 받고자 국토해양부장관에게 신청하는 민원사무입니다.,지정,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0431,항로표지 장비·용품검사 신청,해상교통의 안전을 위한 장비·용품의 검사를 받고자 하는 자가 검사대행기관으로 지정 받은 기관에 신청하는 민원사무입니다.,검사,단순민원,기타,"등명기(소형 : 468,240원, 중형 : 523,802원)",5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0430,사설항로표지 준공확인,국토해양부장관외의 자로서 항로표지를 설치한 자가 지방해양항만청장의 준공확인을 받고자 요건을 갖추어 신청하야야 하는 민원사무입니다.,확인,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0429,사설항로표지설치·관리대행 요청,항로표지를 설치.관리하여야 하는 자는 그 설치.관리에 소요되는 비용을 자신이 부담하는 조건으로 대통령령으로 정하는 바에 따라 지방해양항만청에 그 설치.관리의 대행을 요청하는 민원사무입니다.,기타,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0428,사설항로표지설치계획,항로등의 수역에서 선박이 침몰되거나 구조물 설치등의 공사를 하는 경우 당해 선박의 소유자 또는 공사의 시행자가 항로표지를 설치·관리하여야 하므로 항로표지설치계획서를 작성하여 지방해양항만청장에게 제출하여야 하는 민원사무입니다.,제출,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0427,사설항로표지 설치(현황변경) 허가,자기의 사업 또는 사무의 용으로 사용하기 위한 항로표지를 설치하고자 하는 자 또는 설치한 항로표지의 위치를 변경하거나 현상을 변경하고자 하는 자가 허가(변경허가)를 받고자 신청하는 민원입니다.,허가,단순민원,수수료 없음,수수료 없음,5년,2016.02.16,2016.02.17,,해양수산부,항로표지과
1520000-0425,수산업협동조합 총회의결(임원선거·당선) 취소청구,"조합원이 총회(창립총회를 포함한다)의 소집절차·의결방법·의결내용 또는 임원(대의원을 포함한다. 이하 이 조에서 같다)의 선거가 법령, 법령에 의한 행정처분, 정관 또는 규약에 위반하였다는 것을 이유로 하여 의결일 또는 당선인 공고일부터 1월이내에 조합원 10분의 1이상의 동의를 얻어 그 의결 또는 선거에 따른 당선의 취소를 농림수산식품부장관에게 청구하거나, 그 의결의 취소나 무효 또는 선거에 따른 당선의 무효를 청구하는 소를 법원에 제기할 수 있는 민원사무입니다.",청구,단순민원,수수료 없음,수수료 없음,5년,2013.04.03,2013.04.04,,해양수산부,수산정책과
1520000-0423,신항만건설사업 준공전사용신고,신항만건설사업에 대하여 준공전 사용 신고를 하는 경우에 신청하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,5년,2013.04.04,2013.04.05,,해양수산부,항만개발과
1520000-0422,신항만건설사업계획승인 및 사업시행자지정,사업시행자의 지정을 받고자 하는 자가 고시된 기본계획에 따라 대통령령이 정하는 바에 의하여 신항만건설에 관한 사업계획을 작성하여 국토해양부장관의 승인을 신청하는 민원사무입니다.,승인,단순민원,수수료 없음,수수료 없음,5년,2013.04.04,2013.04.05,,해양수산부,항만개발과
1520000-0419,공유수면 점용 사용 실시계획 변경승인(신고),공유수면 관리법에 의거 당초 실시계획 인가된 내용의 변경사항 발생시 신청하는 민원사무입니다.,승인,단순민원,수수료 없음,수수료 없음,5년,2013.04.04,2013.04.05,,해양수산부,연안계획과
1520000-0417,공유수면 점용·사용 실시계획 승인(신고),공유수면 점.사용허가를 받은 자가 공사를 착수하고자 할 때 신청하는 민원사무입니다.,승인,단순민원,수수료 없음,수수료 없음,5년,2013.04.04,2013.04.05,,해양수산부,연안계획과
1520000-0413,공유수면 원상회복 이행보증금반환,공유수면의 원상회복에 소요되는 비용(이행보증금)을 예치한자가 준공인가를 받거나 원상회복 의무를 이행한때에 이행보증금을 반환청구 하는 민원사무입니다.,청구,단순민원,수수료 없음,수수료 없음,영구,2013.04.04,2013.04.05,,해양수산부,연안계획과
1520000-0412,공유수면 매립목적 변경승인,매립면허를 받았거나 매립지의 소유권을 취득한자와 그 승계인이 매립목적을 변경코자 할 때 신청하는 민원 사무입니다.,인가,복합민원,수수료 없음,수수료 없음,영구,2013.04.04,2013.04.05,,해양수산부,연안계획과
1520000-0411,공유수면매립공사 실시계획변경승인,공유수면 매립공사 실시계획을 허가받은 사람이 허가 받은 사항 중 대통령령이 정하는 사항을 변경하고자 하는 경우 신청하는 민원사무입니다.,인가,복합민원,수수료 없음,수수료 없음,영구,2013.04.04,2013.04.05,,해양수산부,연안계획과
1520000-0410,공유수면매립공사 실시계획승인,공유수면매립 피면허자가 공사를 시행하고자 구체적인 공사계획에 관해 인가를 신청하는 민원사무입니다.,인가,복합민원,수수료 없음,수수료 없음,영구,2013.04.04,2013.04.05,,해양수산부,연안계획과
1520000-0409,공유수면매립면허,공유수면 관리 및 매립에 관한 법률에 의하여 무역항을 제외한 일반 공유수면을 매립하고자 면허를 신청하는 민원사무입니다.,면허,복합민원,수수료 없음,수수료 없음,영구,2013.04.04,2013.04.05,,해양수산부,연안계획과
1520000-0407,공유수면매립법상 공유수면원상회복 의무면제,매립면허를 받은 사람은 자기의 귀책사유로 인하여 그 매립면허의 효력이 소멸된 경우에는 매립면허의 시행구역 안의 공유수면을 원상으로 회복하여야 하나 원상회복을 할 수 없거나 기타 대통령령으로 정하는 사유가 있는 경우에 매립면허를 받은 사람이 그 의무를 면제 받기 위하여 신청하는 민원사무입니다.,기타,단순민원,수수료 없음,수수료 없음,영구,2013.04.04,2013.04.05,,해양수산부,연안계획과
1520000-0406,선박멸실등 신고,"한국선박이 선박이 멸실·심몰 또는 해체된 때, 선박이 대한민국국적을 상실한 때, 선박이 제26조의2에 규정된 선박으로 된 때, 선박의 존부가 3월간 분명하지 아니한 때,국제항해에 종사하지 아니하게 된 때, 선박의 길이가 24미터미만으로 된 때에 선박소유자는 그 사실을 안 날부터 2주이내에 선적항을 관할하는 지방해양항만청장에게 신고하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,5년,2013.04.04,2013.04.05,,해양수산부,해사안전정책과
1520000-0405,임시선박국적증서 발급,선박법에서 규정한 것으로 국외에서 선박을 취득한 경우 국내에 선박등기 및 등록을 하기전에 임시선박국적증서의 발급받고자 할때 신청하는 민원사무입니다.,교부,단순민원,사례별 수수료,"방문, 우편 등 발급시 500원, 전자민원(인터넷) 발급시 무료",5년,2013.04.04,2013.04.05,,해양수산부,해사안전정책과
